Start coordinate search:
Starting position: (1, 1, 1) with performance: 28799 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7442 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6524 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 256, 1) with performance: 6056 ms
Neighbor size: 7
tile size (t1, t2, t3): (2, 256, 1) with performance: 5943 ms
Neighbor size: 8
tile size (t1, t2, t3): (2, 256, 2) with performance: 5836 ms
Neighbor size: 9
coordinate search took 566470 milliseconds to converge.
Best tile sizes: (2, 256, 2) with performance: 5836 ms
Start exhaustive search:
8 2 512 8506
8 4 1 9193
8 4 2 8456
8 4 4 8034
8 4 8 7648
8 4 16 7396
8 4 32 7270
8 4 64 7244
8 4 128 7155
8 4 256 7124
8 4 512 7175
8 8 1 7666
8 8 2 7207
8 8 4 7065
8 8 8 6965
8 8 16 6897
8 8 32 6788
8 8 64 6712
8 8 128 6858
8 8 256 6605
8 8 512 6809
8 16 1 7290
8 16 2 6810
8 16 4 6708
8 16 8 6614
8 16 16 6590
8 16 32 6584
8 16 64 6525
8 16 128 6603
8 16 256 6620
8 16 512 6670
8 32 1 6857
8 32 2 6339
8 32 4 6291
8 32 8 6228
8 32 16 6212
8 32 32 6218
8 32 64 6216
8 32 128 6226
8 32 256 6418
8 32 512 6517
8 64 1 6298
8 64 2 6204
8 64 4 6212
8 64 8 6178
8 64 16 6158
8 64 32 6056
8 64 64 6098
8 64 128 6124
8 64 256 6165
8 64 512 6204
8 128 1 6470
8 128 2 6025
8 128 4 6142
8 128 8 6109
8 128 16 5980
8 128 32 5964
8 128 64 5954
8 128 128 6065
8 128 256 6185
8 128 512 6235
8 256 1 5989
8 256 2 5819
8 256 4 5891
8 256 8 5897
8 256 16 5873
8 256 32 5873
8 256 64 5967
8 256 128 5981
8 256 256 6111
8 256 512 6336
8 512 1 6071
8 512 2 6069
8 512 4 5929
8 512 8 5948
8 512 16 5912
8 512 32 5956
8 512 64 6014
8 512 128 6050
8 512 256 6228
8 512 512 6237
16 1 1 23329
16 1 2 18182
16 1 4 15570
16 1 8 14252
16 1 16 13644
16 1 32 13296
16 1 64 13123
16 1 128 13038
16 1 256 12993
16 1 512 12980
16 2 1 13010
16 2 2 10738
16 2 4 9844
16 2 8 9518
16 2 16 9217
16 2 32 9096
16 2 64 8909
16 2 128 8722
16 2 256 8854
16 2 512 8775
16 4 1 9131
16 4 2 8380
16 4 4 8019
16 4 8 7761
16 4 16 7618
16 4 32 7401
16 4 64 7472
16 4 128 7552
16 4 256 7386
16 4 512 7563
16 8 1 7910
16 8 2 7452
16 8 4 7155
16 8 8 6930
16 8 16 6970
16 8 32 7124
16 8 64 6796
16 8 128 6934
16 8 256 6832
16 8 512 6959
16 16 1 7323
16 16 2 6851
16 16 4 6724
16 16 8 6626
16 16 16 6603
16 16 32 6641
16 16 64 6517
16 16 128 6589
16 16 256 6712
16 16 512 6797
16 32 1 6745
16 32 2 6350
16 32 4 6294
16 32 8 6240
16 32 16 6205
16 32 32 6241
16 32 64 6248
16 32 128 6296
16 32 256 6465
16 32 512 6492
16 64 1 6676
16 64 2 6200
16 64 4 6156
16 64 8 6149
16 64 16 6089
16 64 32 6022
16 64 64 6046
16 64 128 6167
16 64 256 6336
16 64 512 6211
16 128 1 6373
16 128 2 6023
16 128 4 6091
16 128 8 6025
16 128 16 6016
16 128 32 6031
16 128 64 6127
16 128 128 6072
16 128 256 6245
16 128 512 6300
16 256 1 6013
16 256 2 5818
16 256 4 5903
16 256 8 5928
16 256 16 5922
16 256 32 5964
16 256 64 6018
16 256 128 6113
16 256 256 6214
16 256 512 6331
16 512 1 6136
16 512 2 5975
16 512 4 5955
16 512 8 5916
16 512 16 6076
16 512 32 5996
16 512 64 6054
16 512 128 6081
16 512 256 6178
16 512 512 6245
32 1 1 23162
32 1 2 18060
32 1 4 15497
32 1 8 14211
32 1 16 13621
32 1 32 13282
32 1 64 13113
32 1 128 13026
32 1 256 12982
32 1 512 12971
32 2 1 12900
32 2 2 10695
32 2 4 9626
32 2 8 9638
32 2 16 9079
32 2 32 9014
32 2 64 8999
32 2 128 8788
32 2 256 8738
32 2 512 8741
32 4 1 9028
32 4 2 8453
32 4 4 7934
32 4 8 7867
32 4 16 7579
32 4 32 7691
32 4 64 7585
32 4 128 7540
32 4 256 7425
32 4 512 7592
32 8 1 7784
32 8 2 7368
32 8 4 7252
32 8 8 7241
32 8 16 7000
32 8 32 6979
32 8 64 6905
32 8 128 7046
32 8 256 7053
32 8 512 7025
32 16 1 7512
32 16 2 6814
32 16 4 6714
32 16 8 6645
32 16 16 6613
32 16 32 6650
32 16 64 6585
32 16 128 6646
32 16 256 6779
32 16 512 6852
32 32 1 6826
