Start coordinate search:
Starting position: (1, 1, 1) with performance: 4836 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 719 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 233 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 64, 1) with performance: 157 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 4) with performance: 114 ms
Neighbor size: 12
tile size (t1, t2, t3): (16, 64, 4) with performance: 91 ms
Neighbor size: 12
tile size (t1, t2, t3): (16, 256, 4) with performance: 72 ms
Neighbor size: 11
tile size (t1, t2, t3): (64, 256, 4) with performance: 62 ms
Neighbor size: 11
tile size (t1, t2, t3): (256, 256, 4) with performance: 61 ms
Neighbor size: 10
tile size (t1, t2, t3): (256, 512, 4) with performance: 60 ms
Neighbor size: 9
tile size (t1, t2, t3): (256, 512, 8) with performance: 58 ms
Neighbor size: 9
coordinate search took 61511 milliseconds to converge.
Best tile sizes: (256, 512, 8) with performance: 58 ms
Start exhaustive search:
8 4 4 720
8 4 8 697
8 4 16 622
8 4 32 621
8 4 64 683
8 4 128 693
8 4 256 692
8 4 512 690
8 8 1 499
8 8 2 427
8 8 4 398
8 8 8 338
8 8 16 339
8 8 32 334
8 8 64 364
8 8 128 394
8 8 256 395
8 8 512 393
8 16 1 227
8 16 2 262
8 16 4 217
8 16 8 187
8 16 16 186
8 16 32 185
8 16 64 198
8 16 128 209
8 16 256 210
8 16 512 214
8 32 1 209
8 32 2 166
8 32 4 135
8 32 8 128
8 32 16 125
8 32 32 123
8 32 64 129
8 32 128 134
8 32 256 149
8 32 512 155
8 64 1 149
8 64 2 115
8 64 4 104
8 64 8 98
8 64 16 97
8 64 32 101
8 64 64 99
8 64 128 109
8 64 256 123
8 64 512 124
8 128 1 103
8 128 2 91
8 128 4 85
8 128 8 83
8 128 16 82
8 128 32 82
8 128 64 90
8 128 128 105
8 128 256 106
8 128 512 106
8 256 1 104
8 256 2 92
8 256 4 83
8 256 8 81
8 256 16 84
8 256 32 87
8 256 64 92
8 256 128 95
8 256 256 96
8 256 512 97
8 512 1 87
8 512 2 80
8 512 4 78
8 512 8 78
8 512 16 88
8 512 32 90
8 512 64 92
8 512 128 93
8 512 256 94
8 512 512 100
16 1 1 2521
16 1 2 1761
16 1 4 1607
16 1 8 1394
16 1 16 1438
16 1 32 1660
16 1 64 1885
16 1 128 2273
16 1 256 2436
16 1 512 2524
16 2 1 1439
16 2 2 1113
16 2 4 994
16 2 8 906
16 2 16 875
16 2 32 969
16 2 64 1113
16 2 128 1227
16 2 256 1267
16 2 512 1291
16 4 1 766
16 4 2 696
16 4 4 673
16 4 8 608
16 4 16 591
16 4 32 592
16 4 64 658
16 4 128 670
16 4 256 670
16 4 512 669
16 8 1 435
16 8 2 370
16 8 4 339
16 8 8 313
16 8 16 315
16 8 32 312
16 8 64 346
16 8 128 379
16 8 256 380
16 8 512 380
16 16 1 215
16 16 2 212
16 16 4 189
16 16 8 174
16 16 16 173
16 16 32 172
16 16 64 188
16 16 128 200
16 16 256 200
16 16 512 205
16 32 1 165
16 32 2 140
16 32 4 125
16 32 8 115
16 32 16 114
16 32 32 113
16 32 64 118
16 32 128 124
16 32 256 141
16 32 512 147
16 64 1 120
16 64 2 103
16 64 4 94
16 64 8 91
16 64 16 91
16 64 32 95
16 64 64 92
16 64 128 102
16 64 256 118
16 64 512 118
16 128 1 92
16 128 2 78
16 128 4 75
16 128 8 73
16 128 16 74
16 128 32 74
16 128 64 81
16 128 128 97
16 128 256 99
16 128 512 99
16 256 1 88
16 256 2 79
16 256 4 71
16 256 8 70
16 256 16 75
16 256 32 78
16 256 64 84
16 256 128 86
16 256 256 87
16 256 512 88
16 512 1 81
16 512 2 72
16 512 4 69
16 512 8 67
16 512 16 77
16 512 32 80
16 512 64 82
16 512 128 83
16 512 256 84
16 512 512 91
32 1 1 2493
32 1 2 1807
32 1 4 1572
32 1 8 1358
32 1 16 1432
32 1 32 1654
32 1 64 1885
32 1 128 2271
32 1 256 2434
32 1 512 2520
32 2 1 1426
32 2 2 1148
32 2 4 1042
32 2 8 924
32 2 16 895
32 2 32 980
32 2 64 1113
32 2 128 1224
32 2 256 1264
32 2 512 1287
32 4 1 761
32 4 2 693
32 4 4 621
32 4 8 572
32 4 16 577
32 4 32 577
32 4 64 648
32 4 128 660
32 4 256 659
32 4 512 659
32 8 1 412
32 8 2 341
32 8 4 311
32 8 8 292
32 8 16 304
32 8 32 303
32 8 64 338
32 8 128 372
32 8 256 373
32 8 512 374
32 16 1 213
32 16 2 193
32 16 4 185
32 16 8 165
32 16 16 171
32 16 32 168
32 16 64 184
32 16 128 195
32 16 256 196
32 16 512 201
32 32 1 149
32 32 2 135
32 32 4 119
32 32 8 110
32 32 16 110
32 32 32 109
32 32 64 115
32 32 128 119
32 32 256 137
32 32 512 144
32 64 1 109
32 64 2 97
32 64 4 91
32 64 8 89
32 64 16 89
32 64 32 91
32 64 64 89
32 64 128 99
32 64 256 116
32 64 512 116
32 128 1 88
32 128 2 73
32 128 4 71
32 128 8 69
32 128 16 71
32 128 32 71
32 128 64 76
32 128 128 92
32 128 256 96
32 128 512 96
32 256 1 85
32 256 2 72
32 256 4 65
32 256 8 65
32 256 16 69
32 256 32 73
32 256 64 79
32 256 128 81
32 256 256 83
32 256 512 84
32 512 1 78
32 512 2 67
32 512 4 64
32 512 8 62
32 512 16 72
32 512 32 75
32 512 64 77
32 512 128 78
32 512 256 79
32 512 512 81
64 1 1 2689
64 1 2 1827
64 1 4 1521
64 1 8 1344
64 1 16 1436
64 1 32 1668
64 1 64 1894
64 1 128 2272
64 1 256 2433
64 1 512 2519
64 2 1 1564
64 2 2 1246
64 2 4 1079
64 2 8 995
64 2 16 936
64 2 32 991
64 2 64 1114
64 2 128 1224
64 2 256 1263
64 2 512 1285
64 4 1 816
64 4 2 670
64 4 4 600
64 4 8 555
64 4 16 570
64 4 32 577
64 4 64 645
64 4 128 655
64 4 256 654
64 4 512 653
64 8 1 417
64 8 2 335
64 8 4 297
64 8 8 279
64 8 16 301
64 8 32 302
64 8 64 336
64 8 128 369
64 8 256 370
64 8 512 372
64 16 1 223
64 16 2 194
64 16 4 184
64 16 8 169
64 16 16 174
64 16 32 166
64 16 64 182
64 16 128 192
64 16 256 193
64 16 512 199
64 32 1 155
64 32 2 133
64 32 4 121
64 32 8 111
64 32 16 110
64 32 32 108
64 32 64 112
64 32 128 117
64 32 256 136
64 32 512 143
64 64 1 109
64 64 2 99
64 64 4 91
64 64 8 89
64 64 16 88
64 64 32 90
64 64 64 89
64 64 128 97
64 64 256 114
64 64 512 115
64 128 1 94
64 128 2 78
64 128 4 72
64 128 8 69
64 128 16 69
64 128 32 68
64 128 64 74
64 128 128 90
64 128 256 94
64 128 512 95
64 256 1 90
64 256 2 71
64 256 4 63
64 256 8 63
64 256 16 66
64 256 32 70
64 256 64 76
64 256 128 79
64 256 256 81
64 256 512 82
64 512 1 79
64 512 2 65
64 512 4 61
64 512 8 59
64 512 16 69
64 512 32 72
64 512 64 75
64 512 128 76
64 512 256 77
64 512 512 78
128 1 1 2673
128 1 2 1842
128 1 4 1571
128 1 8 1376
128 1 16 1434
128 1 32 1677
128 1 64 1899
128 1 128 2273
128 1 256 2433
128 1 512 2519
128 2 1 1573
128 2 2 1437
128 2 4 1257
128 2 8 1057
128 2 16 940
128 2 32 992
128 2 64 1114
128 2 128 1223
128 2 256 1262
128 2 512 1285
128 4 1 797
128 4 2 660
128 4 4 587
128 4 8 548
128 4 16 567
128 4 32 578
128 4 64 645
128 4 128 653
128 4 256 651
128 4 512 651
128 8 1 415
128 8 2 325
128 8 4 293
128 8 8 279
128 8 16 302
128 8 32 302
128 8 64 335
128 8 128 367
128 8 256 368
128 8 512 371
128 16 1 228
128 16 2 199
128 16 4 197
128 16 8 175
128 16 16 173
128 16 32 166
128 16 64 181
128 16 128 191
128 16 256 192
128 16 512 198
128 32 1 158
128 32 2 139
128 32 4 130
128 32 8 116
128 32 16 111
128 32 32 107
128 32 64 111
128 32 128 116
128 32 256 136
128 32 512 142
128 64 1 120
128 64 2 110
128 64 4 97
128 64 8 89
128 64 16 88
128 64 32 90
128 64 64 88
128 64 128 96
128 64 256 114
128 64 512 115
128 128 1 106
128 128 2 86
128 128 4 73
128 128 8 68
128 128 16 68
128 128 32 67
128 128 64 72
128 128 128 90
128 128 256 93
128 128 512 94
128 256 1 90
128 256 2 72
128 256 4 62
128 256 8 61
128 256 16 65
128 256 32 69
128 256 64 75
128 256 128 78
128 256 256 80
128 256 512 80
128 512 1 79
128 512 2 64
128 512 4 60
128 512 8 58
128 512 16 68
128 512 32 70
128 512 64 73
128 512 128 74
128 512 256 75
128 512 512 76
256 1 1 2682
256 1 2 1904
256 1 4 1721
256 1 8 1455
256 1 16 1430
256 1 32 1679
256 1 64 1900
256 1 128 2273
256 1 256 2431
256 1 512 2519
256 2 1 1628
256 2 2 1603
256 2 4 1303
256 2 8 1068
256 2 16 940
256 2 32 989
256 2 64 1114
256 2 128 1224
256 2 256 1262
256 2 512 1287
256 4 1 794
256 4 2 654
256 4 4 598
256 4 8 552
256 4 16 567
256 4 32 579
256 4 64 644
256 4 128 652
256 4 256 650
256 4 512 650
256 8 1 423
256 8 2 334
256 8 4 307
256 8 8 287
256 8 16 301
256 8 32 302
256 8 64 337
