Mon Oct 28 03:21:57 AM EDT 2024
Execution time of cholesky_naive: 2233.14 ms
Execution time of cholesky_tiled: 1818.52 ms
Outputs of cholesky_naive and cholesky_tiled are the same.
Execution time of cholesky_naive: 2185.75 ms
Execution time of cholesky_pluto (32,32,32,32): 1790 ms
Starting position: (1, 1, 1, 1) with performance: 1827 ms
Neighbor size: 4
Neighbor size: 5
Coordinate Descent completed in 22352.8 ms
Best tile sizes from Coordinate Descent: t2=1, t3=1, t4=1, t5=2
Best performance from Coordinate Descent: 1766 ms
Starting Exhaustive Search...
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 128, 256): 1766 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 1): 1817 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 2): 1778 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 4): 1801 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 8): 1763 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 16): 1767 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 32): 1876 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 64): 1855 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 128): 1891 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 256, 256): 1883 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 1): 1918 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 2): 1783 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 4): 1816 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 8): 1779 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 16): 1873 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 32): 1827 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 64): 1707 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 128): 1812 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 1, 256): 1772 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 1): 1768 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 2): 1772 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 4): 1761 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 8): 1863 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 16): 1879 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 32): 1845 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 64): 1843 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 128): 1892 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 2, 256): 1820 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 1): 1835 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 2): 1831 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 4): 1868 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 8): 1779 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 16): 1762 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 32): 1805 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 64): 1818 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 128): 1799 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 4, 256): 1829 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 1): 1741 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 2): 1823 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 4): 1781 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 8): 1784 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 16): 1770 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 32): 1834 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 64): 1830 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 128): 1832 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 8, 256): 1786 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 1): 1856 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 2): 1765 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 4): 1845 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 8): 1800 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 16): 1801 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 32): 1891 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 64): 1889 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 128): 1860 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 16, 256): 1764 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 1): 1723 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 2): 1768 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 4): 1766 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 8): 1854 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 16): 1819 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 32): 1810 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 64): 1790 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 128): 1752 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 2, 32, 256): 1811 ms
