Start coordinate search:
Starting position: (1, 1, 1) with performance: 5743 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1213 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 474 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 391 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 64, 1) with performance: 368 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 256, 1) with performance: 363 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 361 ms
Neighbor size: 8
coordinate search took 102679 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 361 ms
Start exhaustive search:
8 8 4 605
8 8 8 674
8 8 16 740
8 8 32 889
8 8 64 991
8 8 128 1051
8 8 256 1074
8 8 512 1087
8 16 1 414
8 16 2 465
8 16 4 446
8 16 8 463
8 16 16 523
8 16 32 558
8 16 64 576
8 16 128 588
8 16 256 589
8 16 512 586
8 32 1 391
8 32 2 388
8 32 4 377
8 32 8 384
8 32 16 385
8 32 32 386
8 32 64 389
8 32 128 389
8 32 256 386
8 32 512 387
8 64 1 376
8 64 2 379
8 64 4 378
8 64 8 377
8 64 16 376
8 64 32 377
8 64 64 375
8 64 128 373
8 64 256 373
8 64 512 373
8 128 1 370
8 128 2 372
8 128 4 370
8 128 8 370
8 128 16 371
8 128 32 370
8 128 64 369
8 128 128 368
8 128 256 367
8 128 512 367
8 256 1 374
8 256 2 372
8 256 4 370
8 256 8 370
8 256 16 370
8 256 32 370
8 256 64 369
8 256 128 369
8 256 256 368
8 256 512 369
8 512 1 369
8 512 2 368
8 512 4 367
8 512 8 367
8 512 16 368
8 512 32 368
8 512 64 367
8 512 128 367
8 512 256 367
8 512 512 370
16 1 1 2475
16 1 2 1868
16 1 4 1703
16 1 8 1916
16 1 16 2317
16 1 32 3017
16 1 64 3742
16 1 128 4496
16 1 256 4835
16 1 512 5011
16 2 1 1543
16 2 2 1473
16 2 4 1404
16 2 8 1327
16 2 16 1630
16 2 32 1835
16 2 64 2275
16 2 128 2448
16 2 256 2518
16 2 512 2556
16 4 1 1104
16 4 2 1128
16 4 4 1390
16 4 8 1813
16 4 16 1927
16 4 32 2513
16 4 64 2864
16 4 128 3053
16 4 256 3140
16 4 512 3178
16 8 1 523
16 8 2 540
16 8 4 535
16 8 8 648
16 8 16 722
16 8 32 878
16 8 64 985
16 8 128 1049
16 8 256 1072
16 8 512 1085
16 16 1 399
16 16 2 422
16 16 4 429
16 16 8 442
16 16 16 502
16 16 32 539
16 16 64 558
16 16 128 570
16 16 256 572
16 16 512 569
16 32 1 385
16 32 2 384
16 32 4 377
16 32 8 379
16 32 16 379
16 32 32 381
16 32 64 384
16 32 128 383
16 32 256 383
16 32 512 383
16 64 1 370
16 64 2 375
16 64 4 371
16 64 8 370
16 64 16 370
16 64 32 371
16 64 64 369
16 64 128 369
16 64 256 369
16 64 512 369
16 128 1 369
16 128 2 367
16 128 4 367
16 128 8 366
16 128 16 368
16 128 32 367
16 128 64 367
16 128 128 366
16 128 256 365
16 128 512 364
16 256 1 368
16 256 2 367
16 256 4 365
16 256 8 366
16 256 16 366
16 256 32 366
16 256 64 365
16 256 128 365
16 256 256 365
16 256 512 366
16 512 1 364
16 512 2 364
16 512 4 364
16 512 8 364
16 512 16 364
16 512 32 364
16 512 64 363
16 512 128 364
16 512 256 364
16 512 512 366
32 1 1 2430
32 1 2 1882
32 1 4 1635
32 1 8 1863
32 1 16 2295
32 1 32 3017
32 1 64 3742
32 1 128 4493
32 1 256 4833
32 1 512 5008
32 2 1 1490
32 2 2 1503
32 2 4 1367
32 2 8 1302
32 2 16 1630
32 2 32 1839
32 2 64 2274
32 2 128 2447
32 2 256 2517
32 2 512 2555
32 4 1 1091
32 4 2 1131
32 4 4 1361
32 4 8 1798
32 4 16 1923
32 4 32 2508
32 4 64 2863
32 4 128 3054
32 4 256 3140
32 4 512 3179
32 8 1 492
32 8 2 501
32 8 4 512
32 8 8 633
32 8 16 714
32 8 32 874
32 8 64 984
32 8 128 1048
32 8 256 1071
32 8 512 1085
32 16 1 395
32 16 2 412
32 16 4 400
32 16 8 429
32 16 16 494
32 16 32 530
32 16 64 549
32 16 128 562
32 16 256 565
32 16 512 563
32 32 1 382
32 32 2 386
32 32 4 374
32 32 8 376
32 32 16 377
32 32 32 379
32 32 64 381
32 32 128 380
32 32 256 382
32 32 512 382
32 64 1 370
32 64 2 370
32 64 4 368
32 64 8 367
32 64 16 367
32 64 32 369
32 64 64 367
32 64 128 367
32 64 256 367
32 64 512 367
32 128 1 366
32 128 2 365
32 128 4 364
32 128 8 364
32 128 16 366
32 128 32 365
32 128 64 365
32 128 128 364
32 128 256 364
32 128 512 363
32 256 1 365
32 256 2 364
32 256 4 363
32 256 8 364
32 256 16 364
32 256 32 364
32 256 64 363
32 256 128 363
32 256 256 363
32 256 512 364
32 512 1 362
32 512 2 362
32 512 4 362
32 512 8 362
32 512 16 362
32 512 32 362
32 512 64 362
32 512 128 362
32 512 256 362
32 512 512 365
64 1 1 2629
64 1 2 1953
64 1 4 1653
64 1 8 1855
64 1 16 2310
64 1 32 3029
64 1 64 3761
64 1 128 4499
64 1 256 4833
64 1 512 5007
64 2 1 1643
64 2 2 1475
64 2 4 1348
64 2 8 1366
64 2 16 1645
64 2 32 1848
64 2 64 2276
64 2 128 2446
64 2 256 2516
64 2 512 2554
64 4 1 1166
64 4 2 1121
64 4 4 1358
64 4 8 1803
64 4 16 1932
64 4 32 2506
64 4 64 2862
64 4 128 3054
64 4 256 3140
64 4 512 3179
64 8 1 490
64 8 2 496
64 8 4 497
64 8 8 628
64 8 16 715
64 8 32 875
64 8 64 983
64 8 128 1048
64 8 256 1071
64 8 512 1084
64 16 1 397
64 16 2 406
64 16 4 395
64 16 8 431
64 16 16 493
64 16 32 527
64 16 64 545
64 16 128 558
64 16 256 560
64 16 512 560
64 32 1 384
64 32 2 383
64 32 4 372
64 32 8 374
64 32 16 376
64 32 32 377
64 32 64 380
64 32 128 380
64 32 256 381
64 32 512 381
64 64 1 368
64 64 2 368
64 64 4 366
64 64 8 366
64 64 16 366
64 64 32 368
64 64 64 366
64 64 128 367
64 64 256 366
64 64 512 366
64 128 1 365
64 128 2 365
64 128 4 364
64 128 8 363
64 128 16 365
64 128 32 364
64 128 64 364
64 128 128 364
64 128 256 363
64 128 512 363
64 256 1 363
64 256 2 363
64 256 4 362
64 256 8 364
64 256 16 363
64 256 32 363
64 256 64 362
64 256 128 362
64 256 256 363
64 256 512 362
64 512 1 361
64 512 2 362
64 512 4 362
64 512 8 362
64 512 16 362
64 512 32 361
64 512 64 361
64 512 128 361
64 512 256 361
64 512 512 363
128 1 1 2595
128 1 2 1964
128 1 4 1684
128 1 8 1874
128 1 16 2330
128 1 32 3042
128 1 64 3773
128 1 128 4500
128 1 256 4835
128 1 512 5007
128 2 1 1662
128 2 2 1563
128 2 4 1345
128 2 8 1391
128 2 16 1647
128 2 32 1848
128 2 64 2277
128 2 128 2447
128 2 256 2516
128 2 512 2554
128 4 1 1152
128 4 2 1118
128 4 4 1360
128 4 8 1821
128 4 16 1946
128 4 32 2506
128 4 64 2865
128 4 128 3056
128 4 256 3140
128 4 512 3179
128 8 1 494
128 8 2 485
128 8 4 500
128 8 8 634
128 8 16 719
128 8 32 877
128 8 64 984
128 8 128 1048
128 8 256 1071
128 8 512 1084
128 16 1 402
128 16 2 400
128 16 4 405
128 16 8 437
128 16 16 492
128 16 32 526
128 16 64 543
128 16 128 556
128 16 256 558
128 16 512 559
128 32 1 382
128 32 2 382
128 32 4 373
128 32 8 375
128 32 16 375
128 32 32 377
128 32 64 380
128 32 128 380
128 32 256 381
128 32 512 381
128 64 1 367
128 64 2 367
128 64 4 366
128 64 8 365
128 64 16 365
128 64 32 367
128 64 64 366
128 64 128 366
128 64 256 366
128 64 512 366
128 128 1 364
128 128 2 365
128 128 4 363
128 128 8 363
128 128 16 365
128 128 32 364
128 128 64 364
128 128 128 364
128 128 256 363
128 128 512 363
