Start coordinate search:
Starting position: (1, 1, 1) with performance: 5506 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 899 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 16, 1) with performance: 476 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 389 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 368 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 85489 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
8 8 4 596
8 8 8 676
8 8 16 742
8 8 32 894
8 8 64 995
8 8 128 1054
8 8 256 1076
8 8 512 1089
8 16 1 421
8 16 2 451
8 16 4 446
8 16 8 464
8 16 16 524
8 16 32 558
8 16 64 577
8 16 128 589
8 16 256 591
8 16 512 589
8 32 1 389
8 32 2 388
8 32 4 377
8 32 8 383
8 32 16 384
8 32 32 386
8 32 64 390
8 32 128 389
8 32 256 385
8 32 512 386
8 64 1 376
8 64 2 377
8 64 4 378
8 64 8 377
8 64 16 376
8 64 32 377
8 64 64 375
8 64 128 372
8 64 256 372
8 64 512 373
8 128 1 370
8 128 2 372
8 128 4 370
8 128 8 369
8 128 16 371
8 128 32 370
8 128 64 369
8 128 128 368
8 128 256 367
8 128 512 366
8 256 1 373
8 256 2 371
8 256 4 369
8 256 8 369
8 256 16 369
8 256 32 369
8 256 64 368
8 256 128 368
8 256 256 368
8 256 512 368
8 512 1 370
8 512 2 368
8 512 4 368
8 512 8 368
8 512 16 368
8 512 32 367
8 512 64 367
8 512 128 367
8 512 256 367
8 512 512 370
16 1 1 2519
16 1 2 1907
16 1 4 1752
16 1 8 1916
16 1 16 2406
16 1 32 3010
16 1 64 3768
16 1 128 4498
16 1 256 4840
16 1 512 5015
16 2 1 1559
16 2 2 1373
16 2 4 1320
16 2 8 1302
16 2 16 1603
16 2 32 1808
16 2 64 2259
16 2 128 2441
16 2 256 2518
16 2 512 2560
16 4 1 973
16 4 2 1052
16 4 4 1435
16 4 8 1640
16 4 16 1732
16 4 32 1768
16 4 64 1783
16 4 128 1798
16 4 256 1802
16 4 512 1806
16 8 1 545
16 8 2 506
16 8 4 549
16 8 8 654
16 8 16 725
16 8 32 883
16 8 64 990
16 8 128 1051
16 8 256 1074
16 8 512 1088
16 16 1 402
16 16 2 422
16 16 4 415
16 16 8 442
16 16 16 503
16 16 32 541
16 16 64 560
16 16 128 573
16 16 256 575
16 16 512 573
16 32 1 386
16 32 2 385
16 32 4 376
16 32 8 378
16 32 16 380
16 32 32 382
16 32 64 385
16 32 128 384
16 32 256 383
16 32 512 383
16 64 1 371
16 64 2 374
16 64 4 372
16 64 8 371
16 64 16 371
16 64 32 372
16 64 64 370
16 64 128 369
16 64 256 369
16 64 512 369
16 128 1 370
16 128 2 368
16 128 4 367
16 128 8 366
16 128 16 368
16 128 32 368
16 128 64 367
16 128 128 366
16 128 256 365
16 128 512 365
16 256 1 369
16 256 2 367
16 256 4 366
16 256 8 366
16 256 16 366
16 256 32 366
16 256 64 366
16 256 128 365
16 256 256 365
16 256 512 366
16 512 1 365
16 512 2 365
16 512 4 364
16 512 8 365
16 512 16 365
16 512 32 364
16 512 64 364
16 512 128 364
16 512 256 364
16 512 512 366
32 1 1 2479
32 1 2 1896
32 1 4 1678
32 1 8 1864
32 1 16 2382
32 1 32 3009
32 1 64 3765
32 1 128 4498
32 1 256 4842
32 1 512 5013
32 2 1 1514
32 2 2 1414
32 2 4 1280
32 2 8 1297
32 2 16 1611
32 2 32 1815
32 2 64 2258
32 2 128 2440
32 2 256 2516
32 2 512 2558
32 4 1 964
32 4 2 1043
32 4 4 1424
32 4 8 1640
32 4 16 1732
32 4 32 1767
32 4 64 1782
32 4 128 1796
32 4 256 1802
32 4 512 1805
32 8 1 512
32 8 2 481
32 8 4 522
32 8 8 640
32 8 16 717
32 8 32 879
32 8 64 987
32 8 128 1050
32 8 256 1074
32 8 512 1088
32 16 1 396
32 16 2 407
32 16 4 403
32 16 8 428
32 16 16 496
32 16 32 533
32 16 64 552
32 16 128 565
32 16 256 567
32 16 512 567
32 32 1 383
32 32 2 386
32 32 4 374
32 32 8 376
32 32 16 378
32 32 32 380
32 32 64 383
32 32 128 382
32 32 256 382
32 32 512 381
32 64 1 371
32 64 2 370
32 64 4 369
32 64 8 368
32 64 16 368
32 64 32 370
32 64 64 368
32 64 128 368
32 64 256 368
32 64 512 368
32 128 1 367
32 128 2 366
32 128 4 365
32 128 8 365
32 128 16 367
32 128 32 366
32 128 64 366
32 128 128 365
32 128 256 365
32 128 512 364
32 256 1 366
32 256 2 365
32 256 4 364
32 256 8 365
32 256 16 365
32 256 32 364
32 256 64 364
32 256 128 364
32 256 256 364
32 256 512 364
32 512 1 363
32 512 2 363
32 512 4 363
32 512 8 363
32 512 16 363
32 512 32 363
32 512 64 363
32 512 128 362
32 512 256 363
32 512 512 365
64 1 1 2662
64 1 2 1951
64 1 4 1697
64 1 8 1851
64 1 16 2385
64 1 32 3020
64 1 64 3777
64 1 128 4500
64 1 256 4838
64 1 512 5012
64 2 1 1660
64 2 2 1432
64 2 4 1312
64 2 8 1355
64 2 16 1632
64 2 32 1825
64 2 64 2262
64 2 128 2440
64 2 256 2516
64 2 512 2558
64 4 1 1011
64 4 2 1038
64 4 4 1419
64 4 8 1640
64 4 16 1733
64 4 32 1768
64 4 64 1782
64 4 128 1796
64 4 256 1802
64 4 512 1804
64 8 1 503
64 8 2 484
64 8 4 513
64 8 8 638
64 8 16 719
64 8 32 880
64 8 64 987
64 8 128 1050
64 8 256 1073
64 8 512 1087
64 16 1 398
64 16 2 404
64 16 4 398
64 16 8 432
64 16 16 496
64 16 32 530
64 16 64 548
64 16 128 561
64 16 256 563
64 16 512 564
64 32 1 385
64 32 2 384
64 32 4 374
64 32 8 375
64 32 16 377
64 32 32 379
64 32 64 382
64 32 128 381
64 32 256 381
64 32 512 381
64 64 1 369
64 64 2 368
64 64 4 367
64 64 8 367
64 64 16 367
64 64 32 369
64 64 64 368
64 64 128 368
64 64 256 367
64 64 512 367
64 128 1 366
64 128 2 366
64 128 4 365
64 128 8 365
64 128 16 367
64 128 32 366
64 128 64 365
64 128 128 365
64 128 256 364
64 128 512 364
64 256 1 364
64 256 2 364
64 256 4 363
64 256 8 365
64 256 16 364
64 256 32 364
64 256 64 363
64 256 128 363
64 256 256 363
64 256 512 363
64 512 1 362
64 512 2 362
64 512 4 363
64 512 8 363
64 512 16 363
64 512 32 363
64 512 64 362
64 512 128 362
64 512 256 362
64 512 512 365
128 1 1 2640
128 1 2 1972
128 1 4 1731
128 1 8 1868
128 1 16 2397
128 1 32 3035
128 1 64 3786
128 1 128 4503
128 1 256 4839
128 1 512 5013
128 2 1 1681
128 2 2 1474
128 2 4 1373
128 2 8 1392
128 2 16 1634
128 2 32 1827
128 2 64 2264
128 2 128 2441
128 2 256 2516
128 2 512 2558
128 4 1 994
128 4 2 1034
128 4 4 1421
128 4 8 1641
128 4 16 1734
128 4 32 1768
128 4 64 1782
128 4 128 1796
128 4 256 1802
128 4 512 1805
128 8 1 505
128 8 2 480
128 8 4 518
128 8 8 646
128 8 16 723
128 8 32 882
128 8 64 988
128 8 128 1050
128 8 256 1074
128 8 512 1088
128 16 1 404
128 16 2 401
128 16 4 411
128 16 8 438
128 16 16 495
128 16 32 528
128 16 64 546
128 16 128 559
128 16 256 561
128 16 512 563
128 32 1 384
128 32 2 384
128 32 4 374
128 32 8 375
128 32 16 377
128 32 32 379
128 32 64 382
128 32 128 381
128 32 256 381
128 32 512 381
128 64 1 369
128 64 2 368
128 64 4 367
128 64 8 366
128 64 16 367
128 64 32 368
128 64 64 367
128 64 128 368
128 64 256 367
128 64 512 366
128 128 1 366
128 128 2 366
128 128 4 365
128 128 8 364
128 128 16 366
128 128 32 366
128 128 64 365
128 128 128 365
128 128 256 364
128 128 512 364
128 256 1 363
128 256 2 365
128 256 4 363
128 256 8 365
128 256 16 364
128 256 32 363
128 256 64 363
128 256 128 363
128 256 256 363
128 256 512 363
128 512 1 362
128 512 2 363
128 512 4 363
128 512 8 363
128 512 16 362
128 512 32 362
128 512 64 362
128 512 128 362
128 512 256 362
128 512 512 363
256 1 1 2649
256 1 2 1993
256 1 4 1825
256 1 8 1925
256 1 16 2392
256 1 32 3038
256 1 64 3789
256 1 128 4503
256 1 256 4838
256 1 512 5013
256 2 1 1734
256 2 2 1526
256 2 4 1418
256 2 8 1339
256 2 16 1636
