Start coordinate search:
Starting position: (1, 1, 1) with performance: 31783 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7245 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6025 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 2) with performance: 5877 ms
Neighbor size: 9
tile size (t1, t2, t3): (1, 256, 2) with performance: 5710 ms
Neighbor size: 8
coordinate search took 548351 milliseconds to converge.
Best tile sizes: (1, 256, 2) with performance: 5710 ms
Start exhaustive search:
8 4 16 6860
8 4 32 6706
8 4 64 6759
8 4 128 6703
8 4 256 6647
8 4 512 6603
8 8 1 7355
8 8 2 6799
8 8 4 6527
8 8 8 6384
8 8 16 6294
8 8 32 6214
8 8 64 6199
8 8 128 6292
8 8 256 6168
8 8 512 6289
8 16 1 6786
8 16 2 6632
8 16 4 6510
8 16 8 6361
8 16 16 6352
8 16 32 6388
8 16 64 6356
8 16 128 6305
8 16 256 6343
8 16 512 6415
8 32 1 6386
8 32 2 6043
8 32 4 6029
8 32 8 6031
8 32 16 6069
8 32 32 6039
8 32 64 6013
8 32 128 5997
8 32 256 6023
8 32 512 6208
8 64 1 6176
8 64 2 5830
8 64 4 5867
8 64 8 5928
8 64 16 5942
8 64 32 5847
8 64 64 5760
8 64 128 6002
8 64 256 5994
8 64 512 5879
8 128 1 6088
8 128 2 5706
8 128 4 5842
8 128 8 5882
8 128 16 5716
8 128 32 5847
8 128 64 5817
8 128 128 5983
8 128 256 5971
8 128 512 5888
8 256 1 5778
8 256 2 5641
8 256 4 5736
8 256 8 5763
8 256 16 5844
8 256 32 5631
8 256 64 5678
8 256 128 5631
8 256 256 5805
8 256 512 5950
8 512 1 5795
8 512 2 5709
8 512 4 5908
8 512 8 5715
8 512 16 5856
8 512 32 5911
8 512 64 5861
8 512 128 5969
8 512 256 6015
8 512 512 5955
16 1 1 23225
16 1 2 18090
16 1 4 15538
16 1 8 14247
16 1 16 13628
16 1 32 13306
16 1 64 13140
16 1 128 13061
16 1 256 13019
16 1 512 13005
16 2 1 13037
16 2 2 10546
16 2 4 9291
16 2 8 8698
16 2 16 8425
16 2 32 8208
16 2 64 8137
16 2 128 8126
16 2 256 8057
16 2 512 8121
16 4 1 8825
16 4 2 7912
16 4 4 7268
16 4 8 7010
16 4 16 6900
16 4 32 6722
16 4 64 6786
16 4 128 6754
16 4 256 6602
16 4 512 6619
16 8 1 7271
16 8 2 6782
16 8 4 6447
16 8 8 6380
16 8 16 6321
16 8 32 6282
16 8 64 6295
16 8 128 6287
16 8 256 6318
16 8 512 6330
16 16 1 6792
16 16 2 6664
16 16 4 6530
16 16 8 6493
16 16 16 6363
16 16 32 6387
16 16 64 6413
16 16 128 6333
16 16 256 6391
16 16 512 6387
16 32 1 6407
16 32 2 6085
16 32 4 6060
16 32 8 6002
16 32 16 6057
16 32 32 6080
16 32 64 6162
16 32 128 6073
16 32 256 6042
16 32 512 6202
16 64 1 6059
16 64 2 5799
16 64 4 5870
16 64 8 5899
16 64 16 5960
16 64 32 5973
16 64 64 5882
16 64 128 5902
16 64 256 6027
16 64 512 5988
16 128 1 6046
16 128 2 5649
16 128 4 5766
16 128 8 5703
16 128 16 5906
16 128 32 5837
16 128 64 5801
16 128 128 5868
16 128 256 5803
16 128 512 5955
16 256 1 5928
16 256 2 5703
16 256 4 5716
16 256 8 5742
16 256 16 5809
16 256 32 5862
16 256 64 5940
16 256 128 5987
16 256 256 5978
16 256 512 6002
16 512 1 5769
16 512 2 5735
16 512 4 5739
16 512 8 5998
16 512 16 5848
16 512 32 5941
16 512 64 5989
16 512 128 5823
16 512 256 6080
16 512 512 6075
32 1 1 22955
32 1 2 17953
32 1 4 15454
32 1 8 14201
32 1 16 13603
32 1 32 13286
32 1 64 13124
32 1 128 13052
32 1 256 13007
32 1 512 12995
32 2 1 12918
32 2 2 10489
32 2 4 9210
32 2 8 8703
32 2 16 8382
32 2 32 8230
32 2 64 8165
32 2 128 8091
32 2 256 8037
32 2 512 8058
32 4 1 8690
32 4 2 7934
32 4 4 7267
32 4 8 7067
32 4 16 6938
32 4 32 6751
32 4 64 6789
32 4 128 6848
32 4 256 6623
32 4 512 6720
32 8 1 7255
32 8 2 6815
32 8 4 6524
32 8 8 6385
32 8 16 6304
32 8 32 6247
32 8 64 6260
32 8 128 6351
32 8 256 6264
32 8 512 6309
32 16 1 6796
32 16 2 6706
32 16 4 6509
32 16 8 6402
32 16 16 6474
32 16 32 6330
32 16 64 6484
32 16 128 6438
32 16 256 6417
32 16 512 6418
32 32 1 6384
32 32 2 6031
32 32 4 6085
32 32 8 6131
32 32 16 5915
32 32 32 5938
32 32 64 6005
32 32 128 6035
32 32 256 6000
32 32 512 6080
32 64 1 6114
32 64 2 6116
32 64 4 5864
32 64 8 5912
32 64 16 5945
32 64 32 6018
32 64 64 5918
32 64 128 6081
32 64 256 6023
32 64 512 5959
32 128 1 5981
32 128 2 5903
32 128 4 5915
32 128 8 5846
32 128 16 5962
32 128 32 5821
32 128 64 5847
32 128 128 5861
32 128 256 5997
32 128 512 6011
32 256 1 5885
32 256 2 5645
32 256 4 5688
32 256 8 5784
32 256 16 5752
32 256 32 5887
32 256 64 5756
32 256 128 5955
32 256 256 5895
32 256 512 5936
32 512 1 5900
32 512 2 5660
32 512 4 5930
32 512 8 5657
32 512 16 5951
32 512 32 5733
32 512 64 5862
32 512 128 5853
32 512 256 6033
32 512 512 5879
64 1 1 22841
64 1 2 17895
64 1 4 15426
64 1 8 14182
64 1 16 13611
64 1 32 13291
64 1 64 13126
64 1 128 13048
64 1 256 13002
64 1 512 12990
64 2 1 12871
64 2 2 10549
64 2 4 9222
64 2 8 8835
64 2 16 8441
64 2 32 8331
64 2 64 8164
64 2 128 8191
64 2 256 8130
64 2 512 8153
64 4 1 8821
64 4 2 7821
64 4 4 7267
64 4 8 7088
64 4 16 6924
64 4 32 6895
64 4 64 6809
64 4 128 6837
64 4 256 6714
64 4 512 6781
64 8 1 7244
64 8 2 6732
64 8 4 6583
64 8 8 6394
64 8 16 6306
64 8 32 6294
64 8 64 6333
64 8 128 6273
64 8 256 6420
64 8 512 6354
64 16 1 6777
64 16 2 6626
64 16 4 6513
64 16 8 6389
64 16 16 6436
64 16 32 6374
64 16 64 6391
64 16 128 6341
64 16 256 6462
64 16 512 6512
64 32 1 6211
64 32 2 6080
64 32 4 6025
64 32 8 5908
64 32 16 6021
64 32 32 6098
64 32 64 6151
64 32 128 6216
64 32 256 6044
64 32 512 6141
64 64 1 6040
64 64 2 5819
64 64 4 5867
64 64 8 5935
64 64 16 5867
64 64 32 5920
64 64 64 5896
64 64 128 5899
64 64 256 5998
64 64 512 5933
64 128 1 5958
64 128 2 5774
64 128 4 5666
64 128 8 5859
64 128 16 5815
64 128 32 5842
64 128 64 5991
64 128 128 5848
64 128 256 5893
64 128 512 5799
64 256 1 5784
64 256 2 5646
64 256 4 5857
64 256 8 5891
64 256 16 5944
64 256 32 5740
64 256 64 5945
64 256 128 5860
64 256 256 6022
64 256 512 6053
64 512 1 5755
64 512 2 5756
64 512 4 5709
64 512 8 5669
64 512 16 6002
64 512 32 5947
64 512 64 6121
64 512 128 6062
64 512 256 5967
64 512 512 6016
128 1 1 22750
128 1 2 17868
128 1 4 15404
128 1 8 14176
128 1 16 13674
128 1 32 13324
128 1 64 13149
128 1 128 13052
128 1 256 13002
128 1 512 12993
128 2 1 12836
128 2 2 10431
128 2 4 9246
128 2 8 8861
128 2 16 8520
128 2 32 8384
128 2 64 8432
128 2 128 8244
128 2 256 8207
128 2 512 8273
128 4 1 8891
128 4 2 7747
128 4 4 7268
128 4 8 7115
128 4 16 6956
128 4 32 6932
128 4 64 6913
128 4 128 6872
128 4 256 6784
128 4 512 6932
128 8 1 7210
128 8 2 6893
128 8 4 6543
128 8 8 6337
128 8 16 6308
128 8 32 6299
128 8 64 6268
128 8 128 6353
128 8 256 6367
128 8 512 6339
128 16 1 6734
128 16 2 6702
128 16 4 6579
128 16 8 6435
128 16 16 6402
128 16 32 6466
128 16 64 6386
128 16 128 6339
128 16 256 6383
128 16 512 6510
128 32 1 6288
128 32 2 6131
128 32 4 6001
128 32 8 6052
128 32 16 6142
128 32 32 6138
128 32 64 6074
