Start coordinate search:
Starting position: (1, 1, 1) with performance: 30414 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 10010 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 4) with performance: 9143 ms
Neighbor size: 10
tile size (t1, t2, t3): (1, 32, 4) with performance: 8875 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 32, 4) with performance: 8809 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 128, 4) with performance: 8678 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 256, 4) with performance: 8256 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 16) with performance: 8152 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 32) with performance: 8115 ms
Neighbor size: 10
coordinate search took 1085021 milliseconds to converge.
Best tile sizes: (2, 256, 32) with performance: 8115 ms
Start exhaustive search:
8 1 16 14673
8 1 32 14276
8 1 64 14067
8 1 128 13964
8 1 256 13912
8 1 512 13897
8 2 1 14314
8 2 2 12486
8 2 4 11520
8 2 8 11422
8 2 16 10965
8 2 32 10928
8 2 64 10721
8 2 128 10714
8 2 256 10720
8 2 512 10773
8 4 1 11445
8 4 2 10236
8 4 4 10044
8 4 8 9747
8 4 16 9591
8 4 32 9516
8 4 64 9439
8 4 128 9559
8 4 256 9355
8 4 512 9366
8 8 1 9869
8 8 2 9126
8 8 4 9415
8 8 8 9257
8 8 16 9109
8 8 32 8893
8 8 64 9487
8 8 128 8992
8 8 256 9098
8 8 512 9315
8 16 1 9870
8 16 2 9336
8 16 4 9187
8 16 8 9270
8 16 16 9129
8 16 32 9271
8 16 64 9190
8 16 128 9124
8 16 256 9137
8 16 512 9144
8 32 1 9330
8 32 2 8965
8 32 4 8955
8 32 8 8952
8 32 16 8901
8 32 32 9038
8 32 64 8906
8 32 128 8879
8 32 256 8992
8 32 512 8845
8 64 1 8992
8 64 2 8882
8 64 4 8801
8 64 8 8921
8 64 16 8856
8 64 32 8871
8 64 64 8812
8 64 128 8885
8 64 256 8852
8 64 512 8862
8 128 1 8860
8 128 2 8718
8 128 4 8881
8 128 8 8768
8 128 16 8773
8 128 32 8790
8 128 64 8675
8 128 128 8718
8 128 256 8781
8 128 512 8852
8 256 1 8666
8 256 2 8286
8 256 4 8183
8 256 8 8196
8 256 16 8165
8 256 32 8244
8 256 64 8211
8 256 128 8362
8 256 256 8389
8 256 512 8541
8 512 1 8786
8 512 2 8552
8 512 4 8479
8 512 8 8446
8 512 16 8482
8 512 32 8470
8 512 64 8428
8 512 128 8480
8 512 256 8489
8 512 512 8622
16 1 1 24283
16 1 2 19117
16 1 4 16478
16 1 8 15142
16 1 16 14612
16 1 32 14233
16 1 64 14029
16 1 128 13934
16 1 256 13892
16 1 512 13866
16 2 1 14446
16 2 2 12380
16 2 4 11595
16 2 8 11282
16 2 16 10942
16 2 32 10963
16 2 64 10739
16 2 128 10731
16 2 256 10831
16 2 512 10644
16 4 1 11324
16 4 2 10297
16 4 4 10031
16 4 8 9817
16 4 16 9727
16 4 32 9639
16 4 64 9443
16 4 128 9596
16 4 256 9716
16 4 512 9521
16 8 1 10336
16 8 2 9244
16 8 4 9416
16 8 8 9339
16 8 16 9296
16 8 32 9101
16 8 64 9326
16 8 128 9220
16 8 256 9106
16 8 512 9465
16 16 1 9723
16 16 2 9380
16 16 4 9377
16 16 8 9310
16 16 16 9245
16 16 32 9402
16 16 64 9220
16 16 128 9218
16 16 256 9197
16 16 512 9389
16 32 1 9244
16 32 2 8945
16 32 4 8958
16 32 8 8848
16 32 16 9000
16 32 32 8995
16 32 64 9024
16 32 128 9068
16 32 256 8975
16 32 512 9139
16 64 1 9094
16 64 2 8858
16 64 4 8932
16 64 8 8851
16 64 16 8861
16 64 32 8954
16 64 64 8941
16 64 128 8905
16 64 256 8998
16 64 512 8873
16 128 1 8971
16 128 2 8636
16 128 4 8923
16 128 8 8803
16 128 16 8956
16 128 32 8770
16 128 64 8759
16 128 128 8765
16 128 256 8813
16 128 512 8805
16 256 1 8562
16 256 2 8275
16 256 4 8215
16 256 8 8219
16 256 16 8236
16 256 32 8291
16 256 64 8283
16 256 128 8386
16 256 256 8492
16 256 512 8397
16 512 1 8598
16 512 2 8280
16 512 4 8634
16 512 8 8493
16 512 16 8452
16 512 32 8418
16 512 64 8430
16 512 128 8524
16 512 256 8511
16 512 512 8523
32 1 1 24064
32 1 2 18972
32 1 4 16396
32 1 8 15102
32 1 16 14583
32 1 32 14213
32 1 64 14009
32 1 128 13913
32 1 256 13864
32 1 512 13845
32 2 1 14043
32 2 2 12307
32 2 4 11385
32 2 8 11304
32 2 16 10963
32 2 32 10887
32 2 64 10916
32 2 128 10675
32 2 256 11075
32 2 512 10869
32 4 1 11539
32 4 2 10226
32 4 4 9897
32 4 8 10045
32 4 16 9862
32 4 32 9852
32 4 64 10225
32 4 128 9917
32 4 256 9797
32 4 512 10178
32 8 1 9895
32 8 2 9245
32 8 4 9371
32 8 8 9680
32 8 16 9293
32 8 32 9451
32 8 64 9541
32 8 128 9204
32 8 256 9483
32 8 512 9231
32 16 1 9829
32 16 2 9410
32 16 4 9419
32 16 8 9345
32 16 16 9456
32 16 32 9268
32 16 64 9449
32 16 128 9267
32 16 256 9245
32 16 512 9280
32 32 1 9372
32 32 2 9034
32 32 4 9253
32 32 8 9076
32 32 16 9035
32 32 32 9014
32 32 64 9283
32 32 128 9120
32 32 256 9268
32 32 512 9428
32 64 1 8940
32 64 2 8769
32 64 4 9075
32 64 8 8928
32 64 16 9060
32 64 32 8955
32 64 64 8935
32 64 128 9335
32 64 256 9070
32 64 512 9078
32 128 1 8932
32 128 2 8641
32 128 4 9141
32 128 8 9255
32 128 16 8951
32 128 32 8853
32 128 64 8973
32 128 128 9195
32 128 256 9089
32 128 512 9033
32 256 1 8577
32 256 2 8386
32 256 4 8345
32 256 8 8349
32 256 16 8356
32 256 32 8362
32 256 64 8554
32 256 128 8563
32 256 256 8758
32 256 512 8788
32 512 1 8734
32 512 2 8592
32 512 4 8599
32 512 8 8550
32 512 16 8686
32 512 32 8893
32 512 64 8610
32 512 128 8815
32 512 256 8563
32 512 512 8664
64 1 1 23955
64 1 2 18897
64 1 4 16356
64 1 8 15080
64 1 16 14573
64 1 32 14217
64 1 64 14010
64 1 128 13912
64 1 256 13871
64 1 512 13840
64 2 1 14094
64 2 2 12171
64 2 4 11236
64 2 8 11410
64 2 16 11180
64 2 32 11206
64 2 64 10935
64 2 128 10964
64 2 256 11141
64 2 512 10970
64 4 1 11167
64 4 2 10245
64 4 4 10071
64 4 8 10023
64 4 16 10193
64 4 32 10010
64 4 64 9907
64 4 128 9933
64 4 256 9889
64 4 512 9816
64 8 1 9838
64 8 2 9425
64 8 4 9465
64 8 8 9478
64 8 16 9475
64 8 32 9411
64 8 64 9463
64 8 128 9236
64 8 256 9325
64 8 512 9324
64 16 1 9734
64 16 2 9429
64 16 4 9439
64 16 8 9301
64 16 16 9386
64 16 32 9512
64 16 64 9243
64 16 128 9437
64 16 256 9441
64 16 512 9392
64 32 1 9311
64 32 2 8941
64 32 4 9118
64 32 8 9094
64 32 16 9034
64 32 32 8941
64 32 64 9159
64 32 128 9141
64 32 256 9334
64 32 512 9248
64 64 1 9358
64 64 2 8833
64 64 4 8985
64 64 8 9130
64 64 16 9316
64 64 32 9182
64 64 64 8950
64 64 128 9081
64 64 256 9165
64 64 512 8892
64 128 1 8884
64 128 2 8589
64 128 4 8808
64 128 8 8902
64 128 16 8961
64 128 32 9154
64 128 64 9027
64 128 128 8945
64 128 256 8905
64 128 512 8938
64 256 1 8650
64 256 2 8326
64 256 4 8347
64 256 8 8373
64 256 16 8438
64 256 32 8420
64 256 64 8499
64 256 128 8593
64 256 256 8768
64 256 512 8823
64 512 1 8795
64 512 2 8607
64 512 4 8574
64 512 8 8603
64 512 16 8475
64 512 32 8751
64 512 64 8622
64 512 128 8808
64 512 256 8762
64 512 512 8708
128 1 1 23899
128 1 2 18871
128 1 4 16345
128 1 8 15078
128 1 16 14570
128 1 32 14227
128 1 64 14020
128 1 128 13970
128 1 256 13925
128 1 512 13893
128 2 1 15197
128 2 2 13347
128 2 4 12617
128 2 8 12079
128 2 16 11700
128 2 32 11488
128 2 64 11731
128 2 128 11745
128 2 256 11540
128 2 512 11183
128 4 1 12455
128 4 2 11323
128 4 4 10874
128 4 8 10632
128 4 16 10617
128 4 32 10562
128 4 64 10517
128 4 128 10710
128 4 256 10585
128 4 512 10715
128 8 1 10909
128 8 2 10120
128 8 4 10215
128 8 8 9762
128 8 16 9774
128 8 32 10203
128 8 64 9757
128 8 128 9926
128 8 256 9932
128 8 512 10234
128 16 1 10367
128 16 2 9966
128 16 4 9974
